species,unique_id,kmer_size,seq_length,madb_time,madb_score,madb_distance,madb_bubbles,madb_braids,madb_cycles,madb_longest_braid_length,jaccard_distance,ensembl_pd,ensembl_score,cogent3_time,cogent3_score,cogent3_pd,madb_ungapped_sw_length,ungapped_sw_time
Chimpanzee,ENSG00000204518.fa,10,273,0.0060436725616455,269.97780490935605,0.0109890109890109,0,1,False,273,0.1855670103092783,0.0109890109890109,269.97780490935605,0.0086500644683837,269.97780490935605,0.0109890109890109,273,0.0056710243225097
Chimpanzee,ENSG00000204518.fa,15,273,0.004887580871582,269.97780490935605,0.0109890109890109,0,1,False,273,0.25,0.0109890109890109,269.97780490935605,0.0086500644683837,269.97780490935605,0.0109890109890109,273,0.0056710243225097
Chimpanzee,ENSG00000204518.fa,20,273,0.0046863555908203,269.97780490935605,0.0109890109890109,0,1,False,273,0.3122923588039867,0.0109890109890109,269.97780490935605,0.0086500644683837,269.97780490935605,0.0109890109890109,273,0.0056710243225097
Chimpanzee,ENSG00000204518.fa,25,273,0.0043988227844238,269.97780490935605,0.0109890109890109,0,1,False,273,0.3509933774834437,0.0109890109890109,269.97780490935605,0.0086500644683837,269.97780490935605,0.0109890109890109,273,0.0056710243225097
Chimpanzee,ENSG00000204518.fa,30,273,0.0052487850189208,269.97780490935605,0.0109890109890109,0,1,False,273,0.3841059602649006,0.0109890109890109,269.97780490935605,0.0086500644683837,269.97780490935605,0.0109890109890109,273,0.0056710243225097
Chimpanzee,ENSG00000204518.fa,35,273,0.004434585571289,269.97780490935605,0.0109890109890109,0,1,False,273,0.4172185430463576,0.0109890109890109,269.97780490935605,0.0086500644683837,269.97780490935605,0.0109890109890109,273,0.0056710243225097
Chimpanzee,ENSG00000204518.fa,40,273,0.004300832748413,269.97780490935605,0.0109890109890109,0,1,False,273,0.4503311258278145,0.0109890109890109,269.97780490935605,0.0086500644683837,269.97780490935605,0.0109890109890109,273,0.0056710243225097
Chimpanzee,ENSG00000184389.fa,60,14423,0.4723951816558838,12354.73678774617,0.0085620750440695,13,14,False,2402,0.7015095544306107,0.0114322518315755,8193.906621684873,13.164615869522097,12354.73678774617,0.0115056116326674,14180,5.269479990005493
Chimpanzee,ENSG00000184389.fa,65,14423,0.4715795516967773,12354.73678774617,0.0085246455097906,13,14,False,2402,0.7212687573007458,0.0114322518315755,8193.906621684873,13.164615869522097,12354.73678774617,0.0115056116326674,14180,5.269479990005493
Chimpanzee,ENSG00000184389.fa,70,14423,0.4803082942962646,12354.73678774617,0.0085246455097906,13,14,False,2402,0.7398910492050135,0.0114322518315755,8193.906621684873,13.164615869522097,12354.73678774617,0.0115056116326674,14180,5.269479990005493
